tarea,tick_ms,us_inicio,us_fin,duracion_us
Tmr Svc,0,452,758,306
Supervisor,1,758,841,83
ControlLed,1,841,1078,237
LecturaSensor,1,1078,1166,88
Monitor,1,1166,1253,87
IDLE,1,1253,656652,655399
ControlLed,501,656652,656718,66
IDLE,501,656718,1304804,648086
LecturaSensor,1001,1304804,1304879,75
ControlLed,1001,1304879,1304915,36
IDLE,1001,1304915,1966854,661939
ControlLed,1501,1966854,1966934,80
IDLE,1501,1966934,2632870,665936
LecturaSensor,2001,2632870,2632935,65
ControlLed,2001,2632935,2632969,34
IDLE,2001,2632969,3309896,676927
ControlLed,2501,3309896,3309966,70
IDLE,2501,3309966,3968962,658996
LecturaSensor,3001,3968962,3969029,67
ControlLed,3001,3969029,3969064,35
IDLE,3001,3969064,4624777,655713
ControlLed,3501,4624777,4624841,64
IDLE,3501,4624841,5287698,662857
LecturaSensor,4001,5287698,5287773,75
ControlLed,4001,5287773,5287831,58
IDLE,4001,5287831,5950080,662249
ControlLed,4501,5950080,5950144,64
IDLE,4501,5950144,6625113,674969
LecturaSensor,5001,6625113,6625188,75
ControlLed,5001,6625188,6625225,37
Monitor,5001,6625225,6625257,32
IDLE,5001,6625257,7272071,646814
ControlLed,5501,7272071,7272154,83
IDLE,5501,7272154,7916736,644582
LecturaSensor,6001,7916736,7916801,65
ControlLed,6001,7916801,7916836,35
IDLE,6001,7916836,8573701,656865
ControlLed,6501,8573701,8573773,72
IDLE,6501,8573773,9247536,673763
LecturaSensor,7001,9247536,9247601,65
ControlLed,7001,9247601,9247635,34
IDLE,7001,9247635,9897545,649910
ControlLed,7501,9897545,9897608,63
IDLE,7501,9897608,10565610,668002
LecturaSensor,8001,10565610,10565706,96
ControlLed,8001,10565706,10565743,37
IDLE,8001,10565743,11230816,665073
ControlLed,8501,11230816,11230881,65
IDLE,8501,11230881,11897154,666273
LecturaSensor,9001,11897154,11897229,75
ControlLed,9001,11897229,11897266,37
IDLE,9001,11897266,12568117,670851
ControlLed,9501,12568117,12568191,74
IDLE,9501,12568191,13241701,673510
LecturaSensor,10001,13241701,13241777,76
ControlLed,10001,13241777,13241813,36
Monitor,10001,13241813,13241845,32
IDLE,10001,13241845,13887948,646103
ControlLed,10501,13887948,13888019,71
IDLE,10501,13888019,14550399,662380
LecturaSensor,11001,14550399,14550476,77
ControlLed,11001,14550476,14550512,36
IDLE,11001,14550512,15209649,659137
ControlLed,11501,15209649,15209723,74
IDLE,11501,15209723,15851743,642020
Supervisor,12001,15851743,15851743,0
