VESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0x2c (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xc58
load:0x4086e610,len:0x31c0
entry 0x4086b910

==========================================================
 Potenciometro (ADC) -> brillo de un LED (PWM) - ESP32-C6
 ESP32-C6 rev 2 | 160 MHz | Arduino-ESP32 3.3.11
==========================================================
Entrada  GPIO2 -> ADC1 canal 2 | 12 bits (0..4095) | atenuacion 12 dB (0..3,3 V)
Salida   GPIO20 -> PWM 5000 Hz pedidos, 0 Hz reales | 12 bits (0..4095)
         LED de catodo comun | fuerza de salida: nivel 0 de 3 (registros del chip)
Comandos: r = prueba de ruido del ADC, i = esta cabecera
----------------------------------------------------------
adc:5 mV:3 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:1 mV:2 pwm_pct:0.0
adc:4 mV:1 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:5 mV:0 pwm_pct:0.1
adc:3 mV:5 pwm_pct:0.1
adc:0 mV:4 pwm_pct:0.0
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:1 pwm_pct:0.0
adc:2 mV:1 pwm_pct:0.0
adc:3 mV:0 pwm_pct:0.1
adc:5 mV:0 pwm_pct:0.1
adc:5 mV:14 pwm_pct:0.1
adc:4 mV:5 pwm_pct:0.1
adc:4 mV:1 pwm_pct:0.1
adc:4 mV:1 pwm_pct:0.1
adc:3 mV:5 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:3 pwm_pct:0.1
adc:5 mV:5 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:5 mV:3 pwm_pct:0.1
adc:0 mV:3 pwm_pct:0.0
adc:2 mV:2 pwm_pct:0.0
adc:2 mV:1 pwm_pct:0.0
adc:2 mV:2 pwm_pct:0.0
adc:3 mV:1 pwm_pct:0.1
adc:3 mV:0 pwm_pct:0.1
adc:3 mV:0 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:3 mV:4 pwm_pct:0.1
adc:2 mV:4 pwm_pct:0.0
adc:2 mV:2 pwm_pct:0.0
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:4 mV:0 pwm_pct:0.1
adc:2 mV:0 pwm_pct:0.0
adc:3 mV:3 pwm_pct:0.1
adc:4 mV:3 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:0 pwm_pct:0.1
adc:5 mV:3 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:11 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:3 pwm_pct:0.1
adc:6 mV:1 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:5 mV:1 pwm_pct:0.1
adc:4 mV:0 pwm_pct:0.1
adc:5 mV:4 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:4 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:2 mV:12 pwm_pct:0.0
adc:4 mV:4 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:1 pwm_pct:0.0
adc:4 mV:5 pwm_pct:0.1
adc:9 mV:1 pwm_pct:0.2
adc:5 mV:1 pwm_pct:0.1
adc:2 mV:4 pwm_pct:0.0
adc:0 mV:3 pwm_pct:0.0
adc:4 mV:4 pwm_pct:0.1
adc:3 mV:0 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:5 mV:0 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:8 mV:3 pwm_pct:0.2
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:4 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:3 mV:3 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:7 mV:3 pwm_pct:0.2
adc:3 mV:1 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:4 mV:6 pwm_pct:0.1
adc:7 mV:1 pwm_pct:0.2
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:2 pwm_pct:0.0
adc:2 mV:3 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:2 mV:2 pwm_pct:0.0
adc:5 mV:0 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:2 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:3 mV:4 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:6 mV:2 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:2 mV:2 pwm_pct:0.0
adc:3 mV:4 pwm_pct:0.1
adc:9 mV:4 pwm_pct:0.2
adc:2 mV:3 pwm_pct:0.0
adc:1 mV:3 pwm_pct:0.0
adc:6 mV:2 pwm_pct:0.1
adc:2 mV:0 pwm_pct:0.0
adc:5 mV:3 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:1 mV:4 pwm_pct:0.0
adc:3 mV:0 pwm_pct:0.1
adc:3 mV:4 pwm_pct:0.1
adc:4 mV:0 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:4 mV:1 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:2 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:4 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:1 mV:3 pwm_pct:0.0
adc:2 mV:3 pwm_pct:0.0
adc:4 mV:1 pwm_pct:0.1
adc:4 mV:0 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:0 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:1 mV:3 pwm_pct:0.0
adc:2 mV:2 pwm_pct:0.0
adc:5 mV:2 pwm_pct:0.1
adc:2 mV:4 pwm_pct:0.0
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:6 mV:3 pwm_pct:0.1
adc:13 mV:3 pwm_pct:0.3
adc:4 mV:0 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:4 mV:3 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:4 mV:0 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:4 mV:3 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:2 mV:4 pwm_pct:0.0
adc:4 mV:3 pwm_pct:0.1
adc:3 mV:4 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:3 pwm_pct:0.1
adc:1 mV:8 pwm_pct:0.0
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:4 mV:1 pwm_pct:0.1
adc:0 mV:0 pwm_pct:0.0
adc:3 mV:2 pwm_pct:0.1
adc:3 mV:1 pwm_pct:0.1
adc:4 mV:9 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:4 mV:1 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:6 mV:0 pwm_pct:0.1
adc:4 mV:2 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:5 mV:2 pwm_pct:0.1
adc:6 mV:4 pwm_pct:0.1
adc:5 mV:3 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:10 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:2 pwm_pct:0.0
adc:5 mV:4 pwm_pct:0.1
adc:4 mV:4 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:2 mV:1 pwm_pct:0.0
adc:2 mV:2 pwm_pct:0.0
adc:3 mV:2 pwm_pct:0.1
adc:0 mV:2 pwm_pct:0.0
adc:2 mV:2 pwm_pct:0.0
adc:3 mV:10 pwm_pct:0.1
adc:3 mV:0 pwm_pct:0.1
adc:3 mV:0 pwm_pct:0.1
adc:4 mV:0 pwm_pct:0.1
adc:4 mV:1 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:1 mV:4 pwm_pct:0.0
adc:3 mV:3 pwm_pct:0.1
adc:4 mV:4 pwm_pct:0.1
adc:4 mV:3 pwm_pct:0.1
adc:5 mV:3 pwm_pct:0.1
adc:2 mV:3 pwm_pct:0.0
adc:1 mV:3 pwm_pct:0.0
adc:0 mV:3 pwm_pct:0.0
adc:2 mV:2 pwm_pct:0.0
adc:10 mV:3 pwm_pct:0.2
adc:5 mV:3 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:5 mV:1 pwm_pct:0.1
adc:3 mV:6 pwm_pct:0.1
adc:6 mV:3 pwm_pct:0.1
adc:2 mV:2 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:3 mV:2 pwm_pct:0.1
adc:2 mV:4 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:5 mV:2 pwm_pct:0.1
adc:3 mV:3 pwm_pct:0.1
adc:1 mV:2 pwm_pct:0.0
adc:4 mV:2 pwm_pct:0.1
adc:14 mV:16 pwm_pct:0.3
adc:32 mV:30 pwm_pct:0.8
adc:45 mV:45 pwm_pct:1.1
adc:58 mV:55 pwm_pct:1.4
adc:69 mV:66 pwm_pct:1.7
adc:69 mV:66 pwm_pct:1.7
adc:81 mV:75 pwm_pct:2.0
adc:87 mV:83 pwm_pct:2.1
adc:88 mV:83 pwm_pct:2.1
adc:86 mV:83 pwm_pct:2.1
adc:85 mV:83 pwm_pct:2.1
adc:87 mV:83 pwm_pct:2.1
adc:86 mV:84 pwm_pct:2.1
adc:86 mV:87 pwm_pct:2.1
adc:87 mV:83 pwm_pct:2.1
adc:89 mV:83 pwm_pct:2.2
adc:86 mV:84 pwm_pct:2.1
adc:89 mV:83 pwm_pct:2.2
adc:89 mV:85 pwm_pct:2.2
adc:87 mV:83 pwm_pct:2.1
adc:88 mV:85 pwm_pct:2.1
adc:95 mV:88 pwm_pct:2.3
adc:111 mV:107 pwm_pct:2.7
adc:119 mV:114 pwm_pct:2.9
adc:129 mV:126 pwm_pct:3.2
adc:138 mV:131 pwm_pct:3.4
adc:141 mV:139 pwm_pct:3.4
adc:146 mV:143 pwm_pct:3.6
adc:157 mV:150 pwm_pct:3.8
adc:162 mV:156 pwm_pct:4.0
adc:167 mV:156 pwm_pct:4.1
adc:170 mV:163 pwm_pct:4.2
adc:175 mV:170 pwm_pct:4.3
adc:182 mV:173 pwm_pct:4.4
adc:188 mV:179 pwm_pct:4.6
adc:191 mV:182 pwm_pct:4.7
adc:195 mV:188 pwm_pct:4.8
adc:201 mV:194 pwm_pct:4.9
adc:211 mV:201 pwm_pct:5.2
adc:213 mV:206 pwm_pct:5.2
adc:218 mV:212 pwm_pct:5.3
adc:224 mV:216 pwm_pct:5.5
adc:225 mV:215 pwm_pct:5.5
adc:226 mV:220 pwm_pct:5.5
adc:227 mV:219 pwm_pct:5.5
adc:228 mV:219 pwm_pct:5.6
adc:225 mV:218 pwm_pct:5.5
adc:225 mV:216 pwm_pct:5.5
adc:228 mV:218 pwm_pct:5.6
adc:229 mV:219 pwm_pct:5.6
adc:229 mV:221 pwm_pct:5.6
adc:227 mV:221 pwm_pct:5.5
adc:218 mV:221 pwm_pct:5.3
adc:229 mV:220 pwm_pct:5.6
adc:230 mV:217 pwm_pct:5.6
adc:228 mV:220 pwm_pct:5.6
adc:227 mV:218 pwm_pct:5.5
adc:228 mV:219 pwm_pct:5.6
adc:227 mV:220 pwm_pct:5.5
adc:228 mV:219 pwm_pct:5.6
adc:227 mV:217 pwm_pct:5.5
adc:230 mV:221 pwm_pct:5.6
adc:230 mV:221 pwm_pct:5.6
adc:229 mV:220 pwm_pct:5.6
adc:226 mV:221 pwm_pct:5.5
adc:232 mV:221 pwm_pct:5.7
adc:230 mV:216 pwm_pct:5.6
adc:230 mV:221 pwm_pct:5.6
adc:227 mV:220 pwm_pct:5.5
adc:228 mV:220 pwm_pct:5.6
adc:225 mV:219 pwm_pct:5.5
adc:230 mV:220 pwm_pct:5.6
adc:228 mV:221 pwm_pct:5.6
adc:228 mV:220 pwm_pct:5.6
adc:228 mV:219 pwm_pct:5.6
adc:229 mV:221 pwm_pct:5.6
adc:231 mV:222 pwm_pct:5.6
adc:238 mV:226 pwm_pct:5.8
adc:239 mV:231 pwm_pct:5.8
adc:237 mV:233 pwm_pct:5.8
adc:243 mV:235 pwm_pct:5.9
adc:246 mV:238 pwm_pct:6.0
adc:259 mV:251 pwm_pct:6.3
adc:266 mV:258 pwm_pct:6.5
adc:267 mV:254 pwm_pct:6.5
adc:273 mV:259 pwm_pct:6.7
adc:272 mV:261 pwm_pct:6.6
adc:269 mV:260 pwm_pct:6.6
adc:270 mV:259 pwm_pct:6.6
adc:270 mV:261 pwm_pct:6.6
adc:282 mV:274 pwm_pct:6.9
adc:292 mV:280 pwm_pct:7.1
adc:296 mV:282 pwm_pct:7.2
adc:301 mV:291 pwm_pct:7.4
adc:304 mV:293 pwm_pct:7.4
adc:305 mV:294 pwm_pct:7.4
adc:312 mV:292 pwm_pct:7.6
adc:311 mV:296 pwm_pct:7.6
adc:310 mV:302 pwm_pct:7.6
adc:315 mV:300 pwm_pct:7.7
adc:317 mV:303 pwm_pct:7.7
adc:317 mV:304 pwm_pct:7.7
adc:320 mV:309 pwm_pct:7.8
adc:318 mV:309 pwm_pct:7.8
adc:319 mV:306 pwm_pct:7.8
adc:319 mV:307 pwm_pct:7.8
adc:324 mV:317 pwm_pct:7.9
adc:323 mV:311 pwm_pct:7.9
adc:329 mV:317 pwm_pct:8.0
adc:336 mV:322 pwm_pct:8.2
adc:349 mV:336 pwm_pct:8.5
adc:355 mV:342 pwm_pct:8.7
adc:353 mV:345 pwm_pct:8.6
adc:354 mV:343 pwm_pct:8.6
adc:355 mV:343 pwm_pct:8.7
adc:356 mV:342 pwm_pct:8.7
adc:355 mV:339 pwm_pct:8.7
adc:351 mV:341 pwm_pct:8.6
adc:354 mV:340 pwm_pct:8.6
adc:357 mV:339 pwm_pct:8.7
adc:354 mV:342 pwm_pct:8.6
adc:353 mV:341 pwm_pct:8.6
adc:370 mV:349 pwm_pct:9.0
adc:386 mV:373 pwm_pct:9.4
adc:405 mV:390 pwm_pct:9.9
adc:414 mV:406 pwm_pct:10.1
adc:429 mV:415 pwm_pct:10.5
adc:441 mV:428 pwm_pct:10.8
adc:454 mV:440 pwm_pct:11.1
adc:466 mV:446 pwm_pct:11.4
adc:478 mV:467 pwm_pct:11.7
adc:492 mV:473 pwm_pct:12.0
adc:499 mV:486 pwm_pct:12.2
adc:509 mV:486 pwm_pct:12.4
adc:513 mV:500 pwm_pct:12.5
adc:527 mV:507 pwm_pct:12.9
adc:538 mV:517 pwm_pct:13.1
adc:548 mV:533 pwm_pct:13.4
adc:562 mV:539 pwm_pct:13.7
adc:574 mV:551 pwm_pct:14.0
adc:570 mV:558 pwm_pct:13.9
adc:579 mV:565 pwm_pct:14.1
adc:589 mV:564 pwm_pct:14.4
adc:602 mV:586 pwm_pct:14.7
adc:615 mV:595 pwm_pct:15.0
adc:632 mV:609 pwm_pct:15.4
adc:632 mV:616 pwm_pct:15.4
adc:635 mV:610 pwm_pct:15.5
adc:633 mV:620 pwm_pct:15.5
adc:635 mV:617 pwm_pct:15.5
adc:638 mV:611 pwm_pct:15.6
adc:635 mV:621 pwm_pct:15.5
adc:630 mV:615 pwm_pct:15.4
adc:626 mV:616 pwm_pct:15.3
adc:631 mV:611 pwm_pct:15.4
adc:635 mV:612 pwm_pct:15.5
adc:634 mV:612 pwm_pct:15.5
adc:635 mV:614 pwm_pct:15.5
adc:636 mV:612 pwm_pct:15.5
adc:634 mV:612 pwm_pct:15.5
adc:637 mV:618 pwm_pct:15.6
adc:654 mV:637 pwm_pct:16.0
adc:665 mV:642 pwm_pct:16.2
adc:688 mV:661 pwm_pct:16.8
adc:695 mV:666 pwm_pct:17.0
adc:701 mV:674 pwm_pct:17.1
adc:703 mV:688 pwm_pct:17.2
adc:730 mV:700 pwm_pct:17.8
adc:730 mV:702 pwm_pct:17.8
adc:740 mV:709 pwm_pct:18.1
adc:758 mV:732 pwm_pct:18.5
adc:772 mV:738 pwm_pct:18.9
adc:775 mV:756 pwm_pct:18.9
adc:783 mV:757 pwm_pct:19.1
adc:786 mV:765 pwm_pct:19.2
adc:800 mV:774 pwm_pct:19.5
adc:806 mV:778 pwm_pct:19.7
adc:817 mV:790 pwm_pct:20.0
adc:813 mV:796 pwm_pct:19.9
adc:833 mV:802 pwm_pct:20.3
adc:832 mV:803 pwm_pct:20.3
adc:843 mV:820 pwm_pct:20.6
adc:846 mV:820 pwm_pct:20.7
adc:858 mV:831 pwm_pct:21.0
